alias,manager_id,manager_name,parent,hq_country,strategy_family,related_party_of
ifm investors,IFM,IFM Investors,IFM Investors,Australia,Private Markets,
ifm investors pty ltd,IFM,IFM Investors,IFM Investors,Australia,Private Markets,
ifm,IFM,IFM Investors,IFM Investors,Australia,Private Markets,
orbis investment management,ORBIS,Orbis Investment Management,Orbis,Bermuda,Active Equity,
orbis investment management limited,ORBIS,Orbis Investment Management,Orbis,Bermuda,Active Equity,
first sentier investors,FSI,First Sentier Investors,Mitsubishi UFJ Trust,Australia,Active Equity,
qic limited,QIC,QIC,QIC,Australia,Private Markets,
qic,QIC,QIC,QIC,Australia,Private Markets,
charter hall funds management limited,CHARTERHALL,Charter Hall,Charter Hall Group,Australia,Real Assets,
charter hall,CHARTERHALL,Charter Hall,Charter Hall Group,Australia,Real Assets,
macquarie asset management,MAM,Macquarie Asset Management,Macquarie Group,Australia,Private Markets,
macquarie investment management global limited,MAM,Macquarie Asset Management,Macquarie Group,Australia,Private Markets,
macquarie infrastructure partners inc,MAM,Macquarie Asset Management,Macquarie Group,Australia,Private Markets,
global infrastructure partners,GIP,Global Infrastructure Partners,BlackRock,United States,Private Markets,
dundas global investors limited,DUNDAS,Dundas Global Investors,Dundas,United Kingdom,Active Equity,
kayne anderson capital advisors lp,KAYNE,Kayne Anderson,Kayne Anderson,United States,Private Credit,
maverick capital ltd.,MAVERICK,Maverick Capital,Maverick,United States,Hedge Fund - Long/Short Equity,
stepstone group,STEPSTONE,StepStone Group,StepStone,United States,Private Markets,
blackbird ventures pty limited,BLACKBIRD,Blackbird Ventures,Blackbird,Australia,Venture Capital,
ispt operations pty ltd,ISPT,ISPT,ISPT,Australia,Real Assets,
ispt,ISPT,ISPT,ISPT,Australia,Real Assets,
apollo global management,APOLLO,Apollo Global Management,Apollo,United States,Private Credit,
square peg capital pty ltd,SQUAREPEG,Square Peg Capital,Square Peg,Australia,Venture Capital,
barings llc,BARINGS,Barings,MassMutual,United States,Private Credit,
barings,BARINGS,Barings,MassMutual,United States,Private Credit,
lendlease real estate investments limited,LENDLEASE,Lendlease Investment Management,Lendlease,Australia,Real Assets,
kohlberg kravis roberts & co lp,KKR,KKR,KKR,United States,Private Equity,
kohlberg kravis roberts & co,KKR,KKR,KKR,United States,Private Equity,
pimco australia pty ltd,PIMCO,PIMCO,Allianz,United States,Fixed Income,
pimco investment management,PIMCO,PIMCO,Allianz,United States,Fixed Income,
dexus capital investors limited,DEXUS,Dexus,Dexus,Australia,Real Assets,
dexus,DEXUS,Dexus,Dexus,Australia,Real Assets,
blackrock investment management (australia) ltd,BLACKROCK,BlackRock,BlackRock,United States,Index & Systematic,
blackrock,BLACKROCK,BlackRock,BlackRock,United States,Index & Systematic,
marathon asset management l.p.,MARATHON,Marathon Asset Management,Marathon,United States,Private Credit,
h.r.l morrison & co limited,MORRISON,Morrison & Co,Morrison,New Zealand,Private Markets,
morrison private markets pty limited,MORRISON,Morrison & Co,Morrison,New Zealand,Private Markets,
blackstone alternative asset management associates llc,BLACKSTONE,Blackstone,Blackstone,United States,Hedge Fund - Fund of Funds,
bain capital credit lp,BAINCREDIT,Bain Capital Credit,Bain Capital,United States,Private Credit,
flexstone partners,FLEXSTONE,Flexstone Partners,Natixis,France,Private Equity,
tangency capital limited,TANGENCY,Tangency Capital,Tangency,United Kingdom,Hedge Fund - Insurance-linked,
cross ocean partners,CROSSOCEAN,Cross Ocean Partners,Cross Ocean,United Kingdom,Private Credit,
janus henderson investors (australia) institutional funds management limited,JANUS,Janus Henderson,Janus Henderson,United Kingdom,Active Equity,
redding ridge advisors,REDDINGRIDGE,Redding Ridge,Apollo,United States,Private Credit,
fermat capital management llc,FERMAT,Fermat Capital Management,Fermat,United States,Hedge Fund - Insurance-linked,
siguler guff & company lp,SIGULERGUFF,Siguler Guff,Siguler Guff,United States,Private Equity,
state street global advisors,SSGA,State Street Global Advisors,State Street,United States,Index & Systematic,
state street investment management,SSGA,State Street Global Advisors,State Street,United States,Index & Systematic,
ubs asset management (australia) ltd,UBSAM,UBS Asset Management,UBS,Switzerland,Index & Systematic,
morgan stanley investment management (australia),MSIM,Morgan Stanley Investment Management,Morgan Stanley,United States,Active Equity,
ardea,ARDEA,Ardea Investment Management,Fidante,Australia,Fixed Income,
jpmorgan asset management (australia) limited,JPMAM,J.P. Morgan Asset Management,JPMorgan Chase,United States,Active Equity,
wellington management australia pty ltd,WELLINGTON,Wellington Management,Wellington,United States,Active Equity,
insight investment management global limited,INSIGHT,Insight Investment,BNY,United Kingdom,Fixed Income,
churchill asset management,CHURCHILL,Churchill Asset Management,Nuveen,United States,Private Credit,
oaktree capital management lp,OAKTREE,Oaktree Capital Management,Brookfield,United States,Private Credit,
partners group,PARTNERSGROUP,Partners Group,Partners Group,Switzerland,Private Markets,
tpg,TPG,TPG,TPG,United States,Private Equity,
sydney airport alliance,SYDAIR,Sydney Airport Alliance,Consortium,Australia,Private Markets,
future group investment management,FUTUREGROUP,Future Group Investment Management,Future Group,Australia,Related-party Pooled Vehicle,futuresuper
qsuper,QSUPER,QSuper (ART internal),Australian Retirement Trust,Australia,Related-party Pooled Vehicle,art
blackrock inc,BLACKROCK,BlackRock,BlackRock,United States,Index & Systematic,
"blackrock, inc",BLACKROCK,BlackRock,BlackRock,United States,Index & Systematic,
blackrock investment management (australia) limited,BLACKROCK,BlackRock,BlackRock,United States,Index & Systematic,
blackrock financial management inc,BLACKROCK,BlackRock,BlackRock,United States,Index & Systematic,
blackrock investment,BLACKROCK,BlackRock,BlackRock,United States,Index & Systematic,
ishares,BLACKROCK,BlackRock,BlackRock,United States,Index & Systematic,
state street,SSGA,State Street Global Advisors,State Street,United States,Index & Systematic,
ubs asset management,UBSAM,UBS Asset Management,UBS,Switzerland,Index & Systematic,
morgan stanley investment management,MSIM,Morgan Stanley Investment Management,Morgan Stanley,United States,Active Equity,
partners group ag,PARTNERSGROUP,Partners Group,Partners Group,Switzerland,Private Markets,
macquarie infrastructure partners,MAM,Macquarie Asset Management,Macquarie,Australia,Private Markets,
macquarie agricultural funds management limited,MAM,Macquarie Asset Management,Macquarie,Australia,Private Markets,
macquarie investment management,MAM,Macquarie Asset Management,Macquarie,Australia,Private Markets,
mpf general partner,MAM,Macquarie Asset Management,Macquarie,Australia,Private Markets,
insight investment,INSIGHT,Insight Investment,BNY,United Kingdom,Fixed Income,
wellington management,WELLINGTON,Wellington Management,Wellington,United States,Active Equity,
oaktree capital management,OAKTREE,Oaktree Capital Management,Brookfield,United States,Private Credit,
leonard green & partners,LEONARDGREEN,Leonard Green & Partners,Leonard Green,United States,Private Equity,
russell investments,RUSSELL,Russell Investments,Russell,United States,Implemented / Multi-Manager,
metrics credit partners,METRICS,Metrics Credit Partners,Pinnacle,Australia,Private Credit,
warakirri asset management,WARAKIRRI,Warakirri Asset Management,Warakirri,Australia,Real Assets,
quinbrook infrastructure partners,QUINBROOK,Quinbrook Infrastructure Partners,Quinbrook,Australia,Private Markets,
altis asset management,ALTIS,Altis Asset Management,Altis,Australia,Real Assets,
challenger investment solutions,CHALLENGER,Challenger Investment Management,Challenger,Australia,Fixed Income,
greystar,GREYSTAR,Greystar,Greystar,United States,Real Assets,
ten cap investment management,TENCAP,Ten Cap,Ten Cap,Australia,Active Equity,
bentham asset management,BENTHAM,Bentham Asset Management,Bentham,Australia,Fixed Income,
gpt funds management,GPT,GPT Funds Management,GPT Group,Australia,Real Assets,
lendlease investment management,LENDLEASE,Lendlease Investment Management,Lendlease,Australia,Real Assets,
international asset management ltd,IAM,International Asset Management (IAM),IAM,United Kingdom,Hedge Fund - Fund of Funds,
twelve capital,TWELVE,Twelve Capital,Twelve Capital,Switzerland,Hedge Fund - Insurance-linked,
bain capital,BAINCREDIT,Bain Capital,Bain Capital,United States,Private Credit,
adm capital,ADM,ADM Capital,ADM Capital,Hong Kong,Private Credit,
apostle funds management,APOSTLE,Apostle Funds Management,Apostle,Australia,Multi-Manager,
fidera vecta,FIDERA,Fidera,Fidera,United Kingdom,Hedge Fund - Credit,
cibus capital,CIBUS,Cibus Capital,Cibus,United Kingdom,Real Assets,
franklin templeton,FRANKLIN,Franklin Templeton,Franklin Templeton,United States,Active Equity,
stafford capital partners,STAFFORD,Stafford Capital Partners,Stafford,United Kingdom,Private Markets,
taconic capital advisors,TACONIC,Taconic Capital,Taconic,United States,Hedge Fund - Event-driven & Credit,
sc lowy asset management,SCLOWY,SC Lowy,SC Lowy,Hong Kong,Hedge Fund - Credit,
obra capital management,OBRA,Obra Capital,Obra,United States,Hedge Fund - Credit,
one william street capital management,OWS,One William Street Capital,One William Street,United States,Hedge Fund - Credit,
wollemi asset management,WOLLEMI,Wollemi Asset Management,Wollemi,Australia,Hedge Fund - Long/Short Equity,
intermediate capital group,ICG,Intermediate Capital Group,ICG,United Kingdom,Private Credit,
corbin capital,CORBIN,Corbin Capital Partners,Corbin,United States,Hedge Fund - Multi-strategy,
ninety one,NINETYONE,Ninety One,Ninety One,United Kingdom,Active Equity,
eidos partners,EIDOS,Eidos Partners,Eidos,Italy,Hedge Fund - Credit,
varde partners,VARDE,Varde Partners,Varde,United States,Hedge Fund - Distressed & Credit,
hayfin capital management,HAYFIN,Hayfin Capital Management,Hayfin,United Kingdom,Private Credit,
caspian capital,CASPIAN,Caspian Capital,Caspian,United States,Hedge Fund - Distressed & Credit,
atrium investment management,ATRIUM,Atrium Investment Management,Atrium,Australia,Multi-Manager,
riparian capital partners,RIPARIAN,Riparian Capital Partners,Riparian,Australia,Real Assets,
snow phipps,SNOWPHIPPS,Snow Phipps,Snow Phipps,United States,Private Equity,
janchor partners,JANCHOR,Janchor Partners,Janchor,Hong Kong,Hedge Fund - Long/Short Equity,
k2 asset management,K2,K2 Asset Management,K2,Australia,Hedge Fund - Long/Short Equity,
tanarra capital,TANARRA,Tanarra Capital,Tanarra,Australia,Private Credit,
nephila capital,NEPHILA,Nephila Capital,Markel,Bermuda,Hedge Fund - Insurance-linked,
aspect capital,ASPECT,Aspect Capital,Aspect,United Kingdom,Hedge Fund - Global Macro & CTA,
p/e global,PEGLOBAL,P/E Global,P/E Global,United States,Hedge Fund - Global Macro & CTA,
king street capital management,KINGSTREET,King Street Capital Management,King Street,United States,Hedge Fund - Event-driven & Credit,
hiscox re insurance linked strategies,HISCOX,Hiscox ILS,Hiscox,Bermuda,Hedge Fund - Insurance-linked,
patria capital partners,PATRIA,Patria Investments,Patria,Brazil,Private Markets,
l1 capital,L1,L1 Capital,L1 Capital,Australia,Hedge Fund - Long/Short Equity,
blackstone alternative solutions,BLACKSTONE,Blackstone,Blackstone,United States,Hedge Fund - Fund of Funds,
blackstone alternative asset management,BLACKSTONE,Blackstone,Blackstone,United States,Hedge Fund - Fund of Funds,
blackstone,BLACKSTONE,Blackstone,Blackstone,United States,Hedge Fund - Fund of Funds,
tangency capital,TANGENCY,Tangency Capital,Tangency,United Kingdom,Hedge Fund - Insurance-linked,
fermat capital,FERMAT,Fermat Capital Management,Fermat,United States,Hedge Fund - Insurance-linked,
jpmorgan asset management,JPMAM,J.P. Morgan Asset Management,JPMorgan,United States,Active Equity,
ardea investment management,ARDEA,Ardea Investment Management,Ardea,Australia,Fixed Income,
pimco,PIMCO,PIMCO,Allianz,United States,Fixed Income,
ares management,ARES,Ares Management,Ares,United States,Private Credit,
brookfield asset management,BROOKFIELD,Brookfield Asset Management,Brookfield,Canada,Private Markets,
kkr,KKR,KKR,KKR,United States,Private Equity,
carlyle,CARLYLE,Carlyle,Carlyle,United States,Private Equity,
tpg capital,TPG,TPG,TPG,United States,Private Equity,
eqt partners,EQT,EQT,EQT,Sweden,Private Equity,
eqt fund management,EQT,EQT,EQT,Sweden,Private Equity,
palisade investment partners,PALISADE,Palisade Investment Partners,Palisade,Australia,Private Markets,
igneo infrastructure partners,FSI,First Sentier Investors,MUFG,Australia,Active Equity,
first sentier,FSI,First Sentier Investors,MUFG,Australia,Active Equity,
airlie funds management,AIRLIE,Airlie Funds Management,Magellan,Australia,Active Equity,
magellan asset management,MAGELLAN,Magellan Asset Management,Magellan,Australia,Active Equity,
platinum asset management,PLATINUM,Platinum Asset Management,Platinum,Australia,Active Equity,
baillie gifford,BAILLIE,Baillie Gifford,Baillie Gifford,United Kingdom,Active Equity,
arrowstreet capital,ARROWSTREET,Arrowstreet Capital,Arrowstreet,United States,Index & Systematic,
aqr capital management,AQR,AQR Capital Management,AQR,United States,Index & Systematic,
dimensional fund advisors,DFA,Dimensional Fund Advisors,Dimensional,United States,Index & Systematic,
vanguard investments,VANGUARD,Vanguard,Vanguard,United States,Index & Systematic,
northern trust,NORTHERNTRUST,Northern Trust Asset Management,Northern Trust,United States,Index & Systematic,
bridgewater associates,BRIDGEWATER,Bridgewater Associates,Bridgewater,United States,Hedge Fund - Global Macro & CTA,
man group,MAN,Man Group,Man Group,United Kingdom,Hedge Fund - Multi-strategy,
man ahl,MAN,Man Group,Man Group,United Kingdom,Hedge Fund - Global Macro & CTA,
man frm,MAN,Man Group,Man Group,United Kingdom,Hedge Fund - Fund of Funds,
citadel,CITADEL,Citadel,Citadel,United States,Hedge Fund - Multi-strategy,
millennium management,MILLENNIUM,Millennium Management,Millennium,United States,Hedge Fund - Multi-strategy,
elliott management,ELLIOTT,Elliott Management,Elliott,United States,Hedge Fund - Multi-strategy,
davidson kempner,DAVIDSONKEMPNER,Davidson Kempner,Davidson Kempner,United States,Hedge Fund - Event-driven & Credit,
graham capital management,GRAHAM,Graham Capital Management,Graham,United States,Hedge Fund - Global Macro & CTA,
winton,WINTON,Winton,Winton,United Kingdom,Hedge Fund - Global Macro & CTA,
lgt capital partners,LGT,LGT Capital Partners,LGT,Switzerland,Hedge Fund - Fund of Funds,
grosvenor capital management,GCM,GCM Grosvenor,GCM Grosvenor,United States,Hedge Fund - Fund of Funds,
gcm grosvenor,GCM,GCM Grosvenor,GCM Grosvenor,United States,Hedge Fund - Fund of Funds,
cambridge associates,CAMBRIDGE,Cambridge Associates,Cambridge Associates,United States,Multi-Manager,
hamilton lane,HAMILTONLANE,Hamilton Lane,Hamilton Lane,United States,Private Equity,
harbourvest,HARBOURVEST,HarbourVest Partners,HarbourVest,United States,Private Equity,
pantheon ventures,PANTHEON,Pantheon,Pantheon,United Kingdom,Private Equity,
adams street,ADAMSSTREET,Adams Street Partners,Adams Street,United States,Private Equity,
neuberger berman,NEUBERGER,Neuberger Berman,Neuberger Berman,United States,Private Equity,
global x,GLOBALX,Global X ETFs,Mirae Asset,Australia,Index & Systematic,
betashares,BETASHARES,Betashares,Betashares,Australia,Index & Systematic,
copenhagen infrastructure partners,CIP,Copenhagen Infrastructure Partners,CIP (Vestas minority),Denmark,Private Markets,
copenhagen infrastructure partners p/s,CIP,Copenhagen Infrastructure Partners,CIP (Vestas minority),Denmark,Private Markets,
